galaxy,variant,n_points,r_max_kpc,distance_mpc,rmse_DeltaX_absolute,rmse_DeltaX_shape,rmse_DeltaX_shape_inner,rmse_DeltaX_shape_outer,rmse_V_absolute,rmse_V_scaled,V_scale_alpha,median_DeltaX_obs,median_DeltaX_pred
F563-1,full,17,20.1,48.9,1.4175102375237751,0.5150102073467931,0.4674819936284856,0.25999697550416334,49.67606247981725,16.618787306924684,2.061719262271149,2.618421693367368,1.1730601496831878
F563-V1,full,6,7.87,54.0,0.19036318561061066,0.19003870370788228,0.025304732768000247,0.1352454810802425,5.079473659616475,4.7279248815690496,0.9307092676576421,1.0041932328839243,0.9522715463751403
F563-V2,full,10,10.47,59.7,1.1905412809987246,0.37959856522370383,0.26478273212706227,0.19655917733713932,48.16196000289633,11.762700801333748,2.0092609293919264,2.1523688767408866,0.9799140390914256
F565-V2,full,7,8.8,51.8,1.3484734787141335,0.17735080834301273,0.12875142543156542,0.2243895151818406,37.232308193795035,4.997250129274264,2.37599980804652,2.443422117643127,0.979948139324333
F567-2,full,5,9.59,79.0,0.400804539136913,0.13787675731070925,0.14243915504804328,,13.905960124836916,4.5766692499649055,1.4123774003222391,1.2894360838641987,0.8738097902454967
F568-1,full,12,13.23,90.7,1.1550893876358608,0.2136487373175703,0.12887783835655456,0.20203719516697838,56.05215906050387,10.46887879013255,2.058865075261177,2.156814078488003,1.0677013972973597
F568-3,full,18,17.98,82.4,0.42712792344824746,0.2542178621806784,0.09966427017371755,0.24781556603162386,18.946893033953636,12.50880736868795,1.2160724721130818,1.6422697497235719,1.1422749851746308
F568-V1,full,15,17.63,80.6,1.0706889170349667,0.35715032164431393,0.17476649702267694,0.26658385617582886,46.71540407870283,15.032979483975792,1.8260390124817967,2.2347602664246775,1.1576131699678431
F571-8,full,13,15.55,53.3,0.3502246061781676,0.30951545632833616,0.10417570113473548,0.2202951030705277,25.16079021513996,24.95027408809748,1.0339369603591348,1.1361868362197667,1.207967741834502
F571-V1,full,7,13.59,80.1,0.7528526826589862,0.12044903115711013,0.14556830216534963,0.06314032892484191,29.978250937884244,4.793605830877473,1.7010871515424364,1.856139169723246,1.1529295192635
F574-1,full,14,12.6,96.8,0.5926188833947603,0.23850884523068522,0.1571208105353976,0.1044610618236385,27.062911525605884,10.0522057482831,1.4286820920375611,1.7746321714011635,1.200562008789872
F574-2,full,5,10.83,89.1,0.15959589518400433,0.13846619652943398,0.09489421540843145,,4.478410849829521,4.415346387509898,0.9753380839222198,0.8121961106410625,0.8373386705940257
F579-V1,full,14,15.16,89.5,0.7571240743242058,0.6173821214373252,0.6493579489144201,0.11698196559726472,31.24627738449982,23.898518216406302,1.2529943874465994,1.5610852921205662,1.1290352592819022
F583-1,full,25,16.26,35.4,1.04234088127154,0.5543871936592901,0.5703963543377719,0.4391109154336175,24.144123723436238,12.499035187938244,1.5644382052563093,2.272244975485289,1.19019492630792
F583-4,full,12,7.29,53.3,0.6493993623936065,0.4168870900477725,0.5491182431935263,0.17720794960426564,17.38856449688647,6.697011197371794,1.4256081082939265,1.5075061871633302,0.9879411261560325
IC2574,full,34,10.23,3.91,0.5692316962708458,0.16628334377303147,0.08562317131901877,0.2131522120003834,17.128280822635887,5.42446568335933,1.543064199097469,1.58319326387408,1.0247397340433633
IC4202,full,32,25.9,100.4,0.12320732981648427,0.12188786415281781,0.11661804873007425,0.11974359831755459,25.584136638225527,25.301808488517946,1.0172001244261097,1.0504627718973865,0.9870417984566374
KK98-251,full,15,3.13,6.8,0.48914638816800177,0.2020687823690296,0.15432876600801046,0.23468113060687393,8.58723871792242,3.6162425010247117,1.4947363706156576,1.3802432558796327,0.9697948293267217
NGC0024,full,29,11.27,7.3,0.3840839353178466,0.26197285045870855,0.18449087218993088,0.17865407714701326,19.139534931474984,13.022847166078167,1.1913019380642778,1.4666971325128753,1.145025657157318
NGC0055,full,21,13.5,2.11,0.2871160158858599,0.12517722543706963,0.037999363585043716,0.1768996730669452,15.722635998573189,7.112400170277213,1.2334134729500372,1.4624712390376278,1.0768462837431316
NGC0100,full,21,9.62,13.5,0.36626914915467157,0.1287345172102012,0.06374859256672898,0.12334207227577618,17.487376436382892,6.320636619705542,1.2977049178662419,1.4058227673508679,1.0991190356591134
NGC0247,full,26,14.54,3.7,0.5028514905464533,0.26098255666854026,0.3171944977774281,0.04453148199538866,23.541001626081226,9.329338754963,1.330933827191783,1.5543911784928297,1.1816715348294151
NGC0289,full,28,71.12,20.8,0.2560097997066964,0.10192511252771481,0.1364342188604574,0.04616475607134002,35.51923343383418,18.20924234577881,1.2150057319578782,1.4778218460151982,1.21561811302868
NGC0300,full,25,11.8,2.08,0.6149000606518847,0.09525687017348695,0.07074233045188319,0.11524680203788121,28.90458476911832,4.289021976427938,1.533209553978685,1.6875262972073692,1.1268073289292269
NGC0801,full,13,59.82,80.7,0.36348004448399734,0.221106700988622,0.21326841895975324,0.02888469326907914,76.19431870557169,51.87620224589792,0.7848497123757245,0.9129144225063438,1.2156177123532748
NGC0891,full,18,17.11,9.91,0.32458956057875604,0.09943093348797324,0.13752858662511774,0.014807057149435763,82.4512306916918,28.024634534135316,0.7374885692644598,0.8524894747158472,1.1806631082518222
NGC1003,full,36,30.24,11.4,0.751453105765013,0.1743298754604585,0.0506821702422253,0.1258589759460872,37.38702989627235,9.570823948688838,1.56878302727205,1.8443203947701516,1.2130164429666317
NGC1090,full,24,30.09,37.0,0.11848437636169909,0.09128293653283284,0.10495466922954597,0.022463043625523444,16.462861175836732,12.500031458534696,0.9350747899172792,1.04622948480631,1.1997987218006325
NGC1705,full,14,6.0,5.73,1.1445391063981185,0.15160481302252077,0.2052583939210641,0.03905555282192591,34.61308910367985,5.185475034174139,1.9642689730104257,2.267615089465178,1.1794963048557303
