galaxy,variant,n_points,r_max_kpc,distance_mpc,rmse_DeltaX_absolute,rmse_DeltaX_shape,rmse_DeltaX_shape_inner,rmse_DeltaX_shape_outer,rmse_V_absolute,rmse_V_scaled,V_scale_alpha,median_DeltaX_obs,median_DeltaX_pred
F568-1,full,12,13.23,90.7,1.5610172745325028,0.7861585884297995,0.8550247314377326,0.36640653009430296,73.20195397093795,32.26473385424588,2.7796872598795375,2.156814078488003,0.6852474323419442
NGC0024,full,29,11.27,7.3,1.2291536841209756,0.8014984935022853,0.6770987146636819,0.8286825370042139,66.06140271546626,40.81312955440191,2.9701304087862,1.4666971325128753,0.34293194409844246
UGC12506,full,31,49.99,100.6,1.3172913391228465,0.8090953286939637,0.9266899557558604,0.6564807077170061,179.72587084351224,82.09745760039445,3.865126183156452,1.5659653938359697,0.3663768610086592
UGC05829,full,11,6.91,8.64,1.2534592332317784,0.8127538636258846,0.6607150893190833,0.3381110856046644,28.337843817384652,15.879846727740341,2.0234997389467755,1.7504848906708772,0.5840897488983491
DDO161,full,31,13.37,7.5,1.4261304175150098,0.8383964479952403,0.5320728637729236,1.0434525304865885,48.36859541016624,26.058859883092197,9.986064092195948,1.5403201734207241,0.13669194545383614
NGC3198,full,43,44.08,13.8,1.0904377992322807,0.8412856153642453,0.41129892088666037,0.9708674661903494,105.95697145418542,78.68873979418544,3.1363158671556297,1.0756121539922903,0.21983907747933845
UGCA442,full,8,6.33,4.35,1.6505926918341882,0.8474635004096364,0.946863303078472,0.6245460874913755,33.77697281234723,13.18437958946599,3.187174274431199,2.092362421689624,0.6150391768787565
F579-V1,full,14,15.16,89.5,1.3190765535096929,0.8688624737212535,1.0911575198859225,0.17578737959742943,72.07485466406204,33.63549924397159,2.9259348122361084,1.5610852921205662,0.49269636614546464
NGC4214,full,14,5.63,2.87,1.4649971171382392,0.8803690414955203,0.591148807034666,0.6126017541263332,57.72314883757094,35.13458753506447,3.1635663652643253,1.7507387090515252,0.423243680639648
NGC6015,full,44,29.23,17.0,1.2130499646646455,0.8836329205893692,0.5518850493281516,0.7043101927308617,122.920562869474,89.26653509937086,3.7559337095556127,1.2099211501594065,0.16458941428164803
NGC5585,full,24,10.96,7.06,1.170439007390624,0.8866124378824296,0.3836254969513574,1.1880252466833876,59.626003328737475,43.551796822292744,4.810890182050642,1.1901917828115742,0.1983165937451454
ESO444-G084,full,7,4.44,4.83,2.025878779124124,0.8909058102526738,0.7357846466884218,0.694289845999673,38.32064467929767,14.77382436208534,3.709693511232739,2.253990068299717,0.6099543071299167
UGC05986,full,15,9.41,8.63,1.187730053820708,0.8950607472705033,0.33906508566086024,1.2553093926832746,72.27942644921502,50.33313196096043,2.493149904157023,1.5245664532548724,0.5791888019996829
F583-1,full,25,16.26,35.4,1.837470297168213,0.8975657627377255,0.9104211045190769,0.7580118246532773,48.165379413865175,20.571259186695762,4.846504844669108,2.272244975485289,0.3097834089609559
UGC06787,full,71,37.19,21.3,1.0574643152236636,0.9188210670637558,0.41769037892012445,1.2294871669727934,194.8070822627847,159.1304137851516,2.6578033505808967,1.0226141204736836,0.13306131094273888
UGC02953,full,115,62.39,16.5,1.0165371838970854,0.9190337169412005,0.609452949170784,1.1444714630870612,221.87731966212104,185.60200954199115,2.486812927040026,0.9296603116146539,0.12728594962747672
UGC06786,full,45,34.05,29.3,1.0891004882250948,0.9318014615897711,0.47914844517443694,1.2213569991122095,169.46904375316706,135.62566206147707,2.622847660858977,1.0660752110004184,0.2048044389906034
UGC05918,full,8,4.46,7.66,1.471497854028465,0.9372632355637618,1.1683098765465587,0.1683367333799538,22.38303429795735,10.130577301531561,2.3367007336376266,1.9858248390154316,0.7686332860127116
F571-8,full,13,15.55,53.3,1.118601185832043,0.9473758961428553,0.33286957371887,0.8207654984726852,77.41377252472167,68.5485702103268,1.9077395152215928,1.1361868362197667,0.30083305749867845
DDO064,full,14,2.98,6.8,1.2137551881948399,0.9492934306020543,1.2687160622543314,0.17432831318345834,17.436391445053548,6.784129054767848,1.854562227973032,1.6870529229427915,0.7930714664894698
UGC09133,full,68,108.31,57.1,1.059598210313212,0.9612018796144765,0.4229471611197337,1.2421326035000453,203.26006764106376,166.78456537720555,2.2901550199459577,1.012949756436624,0.16095937732151405
NGC2841,full,50,63.64,14.1,1.2040938035945552,1.0116784881243934,0.24202334654204172,1.2643918270026608,214.10963073529447,157.56571454890107,2.2882229003722623,1.2081337055803558,0.38929034305198007
NGC4013,full,36,31.01,18.0,1.0604035713889914,1.0390965046422767,0.38040538230006515,0.31258953687475555,134.36137193162338,129.86446546238858,1.3902458940980043,1.1527447909986486,0.0040308551406978204
NGC2403,full,73,20.87,3.16,1.2451675742540196,1.0585503570050774,0.45243275858159904,1.4003669586954461,93.98813431555656,76.20265212464018,3.124543599830364,1.0867378044365226,0.19334605650132639
F563-V2,full,10,10.47,59.7,1.6168110381744554,1.093521371698957,1.154319763389036,0.8266866850525597,63.06533442618801,34.110546769316905,2.5488708534312297,2.1523688767408866,0.6577814937307023
NGC6503,full,31,23.5,6.26,1.4085495409864248,1.1363956154430976,0.6997258909800458,0.8734459525803231,97.2284221929063,81.22040878304782,2.9561470815846436,1.5874054561665487,0.15520480994089245
UGC05764,full,10,3.62,7.47,2.0788181862868047,1.1464037379740026,1.3123723222024057,0.30915313020117935,34.27102920575747,12.23354437026538,3.39744865508725,2.528699660170096,0.6336077307012997
NGC0289,full,28,71.12,20.8,1.328025010153862,1.170634510186536,0.6251498276254528,0.8799276662101205,152.22904591674578,129.61655532059078,3.268320289281418,1.4778218460151982,0.08394740854206896
UGCA444,full,36,2.62,0.98,1.8306665432147184,1.1738338021468986,1.4935239459759544,0.5290650667836999,21.38112246964811,8.009862795879469,3.9719676555253725,2.0204726697978446,0.41463233121188914
UGC02487,full,17,80.38,69.1,1.3860381125596308,1.2549849024901343,0.9416903819131766,0.7392738928300117,320.13754541827694,285.52380667769864,3.1521228732129454,1.4770202371733607,0.07080334629264862
F563-1,full,17,20.1,48.9,2.2717739145178357,1.2705345291872707,1.0286139990500929,1.3954551295075948,82.85289797202208,47.0398558271486,7.014389164698384,2.618421693367368,0.20292502652446404
UGC05721,full,23,6.74,6.18,1.7913441421973397,1.3226831088260576,0.34353349792299787,1.726999984956119,62.91392621246861,42.710194418464845,4.80574611902912,2.0251910661482224,0.23737788916670613
D631-7,full,16,7.19,7.72,1.7121519651168453,1.3324748728608087,0.42477936796357824,1.4733674868153508,38.51580279647047,29.254128024115253,3.510314830156735,1.8231657471080283,0.351895413240094
UGC08490,full,30,10.15,4.65,1.8547459487529383,1.3731099480903672,0.45597093503934844,1.759035956441393,67.37164896900148,45.98103640423875,5.50838734950544,2.059243520216767,0.24390534368401368
DDO154,full,12,5.92,4.04,1.8820563471341518,1.3813406282442262,0.4472158798704018,1.8953065728196827,33.85076555735561,24.227999771889166,4.027911980764975,2.2726451529894875,0.4770408220361335
NGC1705,full,14,6.0,5.73,2.0100399569640333,1.499090008368015,0.5702259022372106,1.6902016749431634,57.80587169938188,40.89596643870018,3.5789841576778483,2.267615089465178,0.3713483062758812
UGC06667,full,9,7.85,18.0,2.52720095543961,1.5809075650364546,1.8943104152282846,0.27799149219335323,50.45845587714075,18.337559267764327,3.215888316993415,2.970588998042828,0.7296356040618502
NGC1003,full,36,30.24,11.4,1.7750315005875221,1.6095311918523474,0.5687574971775131,2.112938140086192,88.37967921063613,76.71821153559455,3.1420147369479277,1.8443203947701516,0.21811800444708274
UGC00731,full,12,10.91,12.5,2.2305153856999427,1.696930662253144,1.8809243936999454,0.3906258669309535,43.640438399068316,25.776476505261634,2.561829160709443,2.6092864949019137,0.6841211201052542
NGC2915,full,30,10.04,4.06,2.53035264633104,2.20911985293147,1.182746459930794,2.7195972092897014,71.19859942036382,62.590153699867216,4.556160627190539,2.8634607861291332,0.20179059486197543
NGC3741,full,21,7.0,3.21,2.642286165435116,2.4149991476402803,1.1260893370716538,0.8160669513409691,36.509276330477235,33.8307004390169,5.0938444459935175,2.8738473739094856,0.0026426574554177643
